2022-07-13 11:22:49.650 | INFO     | autotest_api.testcase.test_xianzong:test_track_match:521 - 返回结果为：{'errcode': 500, 'errmsg': '系统开小差了,请稍后重试!', 'data': None}
2022-07-13 11:23:27.793 | INFO     | autotest_api.testcase.test_xianzong:test_track_match:521 - 返回结果为：{'errcode': 500, 'errmsg': '系统开小差了,请稍后重试!', 'data': None}
2022-07-13 11:26:57.555 | INFO     | autotest_api.testcase.test_xianzong:test_drivingbehavior:490 - 返回结果为：{'errcode': 21504, 'errmsg': '未查询到轨迹点', 'data': None}
2022-07-13 11:28:17.870 | INFO     | autotest_api.testcase.test_xianzong:test_creat_services:72 - 返回结果为：{'errcode': 21051, 'data': None, 'errmsg': '缺少必填参数', 'errdetail': '缺少必填参数'}
2022-07-13 11:28:17.979 | INFO     | autotest_api.testcase.test_xianzong:test_creat_services:72 - 返回结果为：{'errcode': 21055, 'data': None, 'errmsg': '仅支持中文、英文大小字母、英文下划线"_"、英文横线"-"和数字，不能以"_"开头，长度不大于128个字符', 'errdetail': '仅支持中文、英文大小字母、英文下划线"_"、英文横线"-"和数字，不能以"_"开头，长度不大于128个字符'}
2022-07-13 11:28:18.127 | INFO     | autotest_api.testcase.test_xianzong:test_creat_services:72 - 返回结果为：{'errcode': 0, 'data': {'sid': 10727, 'name': '新增服务700197'}, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:19.130 | INFO     | autotest_api.testcase.test_xianzong:test_services_max:89 - 返回结果为：{'errcode': 21118, 'data': None, 'errmsg': '超过service最大数量15', 'errdetail': '超过service最大数量15'}
2022-07-13 11:28:19.242 | INFO     | autotest_api.testcase.test_xianzong:test_search_service:100 - 返回结果为：{'errcode': 0, 'data': {'results': [{'sid': 10729, 'name': '新增服务127554', 'desc': 'test123'}, {'sid': 10740, 'name': '新增服务181959', 'desc': 'test123'}, {'sid': 10735, 'name': '新增服务308163', 'desc': 'test123'}, {'sid': 10736, 'name': '新增服务364996', 'desc': 'test123'}, {'sid': 10728, 'name': '新增服务417162', 'desc': 'test123'}, {'sid': 10734, 'name': '新增服务451812', 'desc': 'test123'}, {'sid': 10733, 'name': '新增服务483527', 'desc': 'test123'}, {'sid': 10727, 'name': '新增服务700197', 'desc': '123456'}, {'sid': 10737, 'name': '新增服务782117', 'desc': 'test123'}, {'sid': 10730, 'name': '新增服务821361', 'desc': 'test123'}, {'sid': 10738, 'name': '新增服务924014', 'desc': 'test123'}, {'sid': 10726, 'name': '新增服务943353', 'desc': 'test123'}, {'sid': 10732, 'name': '新增服务966181', 'desc': 'test123'}, {'sid': 10731, 'name': '新增服务968858', 'desc': 'test123'}, {'sid': 10739, 'name': '新增服务992963', 'desc': 'test123'}]}, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:19.839 | INFO     | autotest_api.testcase.test_xianzong:test_delete_service:111 - 返回结果为：{'errcode': 0, 'data': None, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:20.012 | INFO     | autotest_api.testcase.test_xianzong:test_update_service:121 - 返回结果为：{'errcode': 0, 'data': {'sid': 10729, 'name': '新增服务127554'}, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:20.688 | INFO     | autotest_api.testcase.test_xianzong:test_creat_termianl:132 - 返回结果为：{'errcode': 0, 'data': {'sid': 10729, 'tid': 10315974, 'name': '新增终端1980272'}, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:20.979 | INFO     | autotest_api.testcase.test_xianzong:test_search_TERM:143 - 返回结果为：{'errcode': 0, 'data': {'count': 3, 'results': [{'tid': 10315973, 'name': '新增终端1299802', 'desc': 'ApXRjvuLxKJqfVYZi8Bk', 'locatetime': None, 'createtime': 1657682904000}, {'tid': 10315972, 'name': '新增终端1661092', 'desc': 'TsG2FmQouV7HaikBc0lt', 'locatetime': None, 'createtime': 1657682904000}, {'tid': 10315974, 'name': '新增终端1980272', 'desc': 'zgxIMVXTy1Scr583mKbQ', 'locatetime': None, 'createtime': 1657682904000}]}, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:21.507 | INFO     | autotest_api.testcase.test_xianzong:test_update_TERM:152 - 返回结果为：{'errcode': 0, 'data': None, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:22.804 | INFO     | autotest_api.testcase.test_xianzong:test_creat_track:169 - 返回结果为：{'errcode': 0, 'data': {'trid': '1', 'trname': '轨迹1233223'}, 'errmsg': '请求正常', 'errdetail': '请求正常'}
2022-07-13 11:28:23.834 | INFO     | autotest_api.testcase.test_xianzong:test_track_upload:178 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': None}
2022-07-13 11:28:24.579 | INFO     | autotest_api.testcase.test_xianzong:test_search_track:188 - 返回结果为：{'errcode': 21504, 'errmsg': '未查询到轨迹点', 'data': None}
2022-07-13 11:28:25.829 | INFO     | autotest_api.testcase.test_xianzong:test_terminal_lastpoint:200 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'location': '120.204208,30.288818', 'locatetime': '1657682903729', 'direction': 343.30075, 'speed': 16.0, 'height': 0.0}}
2022-07-13 11:28:26.857 | INFO     | autotest_api.testcase.test_xianzong:test_keysearch:211 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'count': 2, 'results': [{'name': '新增终端1299802', 'tid': '10315973', 'desc': '修改desc988327', 'createtime': 1657682903948, 'locatetime': 1657682903729, 'location': {'latitude': 30.288876003095854, 'longitude': 120.2043813062812, 'speed': 16.53413777707916, 'direction': 311.5074068393496}}, {'name': '新增终端1661092', 'tid': '10315972', 'desc': 'TsG2FmQouV7HaikBc0lt', 'createtime': 1657682903838}]}}
2022-07-13 11:28:27.241 | INFO     | autotest_api.testcase.test_xianzong:test_polygonsearch:220 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'count': 0, 'results': []}}
2022-07-13 11:28:27.682 | INFO     | autotest_api.testcase.test_xianzong:test_aroundsearch:229 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'count': 0, 'results': []}}
2022-07-13 11:28:27.997 | INFO     | autotest_api.testcase.test_xianzong:test_districtsearch:237 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'count': 1, 'results': [{'name': '新增终端1299802', 'tid': '10315973', 'desc': '修改desc988327', 'createtime': 1657682903948, 'locatetime': 1657682903729, 'location': {'latitude': 30.288876003095854, 'longitude': 120.2043813062812, 'speed': 16.53413777707916, 'direction': 311.5074068393496}}]}}
2022-07-13 11:28:28.357 | INFO     | autotest_api.testcase.test_xianzong:test_creat_circlegeofence:254 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': {'gfid': 107290001}}
2022-07-13 11:28:28.590 | INFO     | autotest_api.testcase.test_xianzong:test_creat_polygongeofence:271 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': {'gfid': 107290002}}
2022-07-13 11:28:28.793 | INFO     | autotest_api.testcase.test_xianzong:test_creat_polylinegeofence:287 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': {'gfid': 107290003}}
2022-07-13 11:28:29.142 | INFO     | autotest_api.testcase.test_xianzong:test_creat_districtgeofence:301 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': {'gfid': 107290004}}
2022-07-13 11:28:29.468 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_list:315 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': {'count': 4, 'results': [{'gfid': 107290001, 'name': '圆形围栏215244', 'desc': '24124', 'createtime': 1657682912000}, {'gfid': 107290002, 'name': '多边形围栏822956', 'desc': '22222', 'createtime': 1657682912000, 'shape': {'points': '120.192028,30.25682;150.192028,30.25682;170.192028,50.25682'}}, {'gfid': 107290003, 'name': '线形围栏885883', 'desc': '22222', 'createtime': 1657682912000, 'shape': {'points': '116.25663757324219,39.91763621372854;116.24805450439453,39.908682835132836;116.2521743774414,39.90051844052326;116.2679672241211,39.895250572855026;116.28170013427734,39.89446035777916;116.2844467163086,39.89814795018363;116.28547668457031,39.90473244309854;116.28616333007812,39.9121063239703;116.28307342529297,39.91579296675271;116.27586364746094,39.92132255884663;116.26659393310547,39.92263906258135;116.25663757324219,39.91763621372854', 'bufferradius': 100}}, {'gfid': 107290004, 'name': '行政区域划围栏291067', 'desc': '22222', 'createtime': 1657682912000}]}}
2022-07-13 11:28:30.000 | INFO     | autotest_api.testcase.test_xianzong:test_update_circle:329 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK'}
2022-07-13 11:28:30.584 | INFO     | autotest_api.testcase.test_xianzong:test_update_polygon:343 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK'}
2022-07-13 11:28:31.148 | INFO     | autotest_api.testcase.test_xianzong:test_update_polyline:358 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK'}
2022-07-13 11:28:31.890 | INFO     | autotest_api.testcase.test_xianzong:test_update_district:374 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK'}
2022-07-13 11:28:32.430 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_delete:389 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': ['107290004']}
2022-07-13 11:28:33.366 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_bind:406 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': ['10315973', '10315972']}
2022-07-13 11:28:34.033 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_bindlist:420 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': {'count': 2, 'results': [{'tid': 10315973, 'name': '新增终端1299802'}, {'tid': 10315972, 'name': '新增终端1661092'}]}}
2022-07-13 11:28:36.678 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_terminal:439 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'count': 1, 'results': [{'gfid': 107290001, 'gfname': '更新行政划围栏996005', 'in': '1', 'location': '120.204208,30.288818', 'time': 1657682903729}]}}
2022-07-13 11:28:38.600 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_unbind:454 - 返回结果为：{'errorCode': 0, 'errmsg': 'OK', 'data': ['10315973', '10315972']}
2022-07-13 11:28:38.831 | INFO     | autotest_api.testcase.test_xianzong:test_geofence_location:473 - 返回结果为：{'errcode': 0, 'errmsg': 'success', 'data': {'count': 3, 'results': [{'gfid': 107290001, 'gfname': '更新行政划围栏996005', 'in': '1'}, {'gfid': 107290002, 'gfname': '多边形围栏822956', 'in': '1'}, {'gfid': 107290003, 'gfname': '线形围栏885883', 'in': '0'}]}}
